,Video_name,frame_name,face_name,Anger,Disgust,Fear,Happy,Sad,Surprise,Neutral,Dominant,Coefficient,Coefficient/s
311,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0073.jpg,mark_zuckerbergs_testimony_before_congress-0073-2.jpg,0.039805949,0.000204691,0.185324997,0.005708988,0.314717233,0.010839367,0.443398863,Neutral,0,0.666666667
312,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0073.jpg,mark_zuckerbergs_testimony_before_congress-0073-3.jpg,0.232206881,0.004290981,0.245678753,0.001018715,0.419685066,0.011680275,0.085439362,Sad,1,0.666666667
313,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0252.jpg,mark_zuckerbergs_testimony_before_congress-0252-1.jpg,0.108024679,0.000910241,0.234410241,0.025825355,0.185560465,0.07715489,0.368114054,Neutral,0,0.666666667
314,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0211.jpg,mark_zuckerbergs_testimony_before_congress-0211-1.jpg,0.121256337,0.000625459,0.144809574,0.048143171,0.428482205,0.004649072,0.252034158,Sad,1,0.666666667
315,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0211.jpg,mark_zuckerbergs_testimony_before_congress-0211-2.jpg,0.071464501,0.002015056,0.447992891,0.002218231,0.420092255,0.003602114,0.052614812,Fear,3,1.666666667
316,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0116.jpg,mark_zuckerbergs_testimony_before_congress-0116-1.jpg,0.120565437,0.001631719,0.329524547,0.005797604,0.459581614,0.009204149,0.073694967,Sad,1,1.666666667
317,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0116.jpg,mark_zuckerbergs_testimony_before_congress-0116-2.jpg,0.072442792,0.000641036,0.323103279,0.002294562,0.360289872,0.03245455,0.208773971,Sad,1,1.666666667
318,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0116.jpg,mark_zuckerbergs_testimony_before_congress-0116-3.jpg,0.160009459,0.002929356,0.170353577,0.055763267,0.546173334,0.009799542,0.054971483,Sad,1,1
319,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0020.jpg,mark_zuckerbergs_testimony_before_congress-0020-1.jpg,0.309308797,0.001450223,0.225736052,0.008862738,0.374614239,0.002833547,0.077194422,Sad,1,1
320,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0020.jpg,mark_zuckerbergs_testimony_before_congress-0020-2.jpg,0.146976814,0.061191618,0.331160098,0.050789732,0.368426949,0.012348373,0.029106304,Sad,1,1
321,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0020.jpg,mark_zuckerbergs_testimony_before_congress-0020-3.jpg,0.036754217,0.001080025,0.158197924,0.208680257,0.444271535,0.009948962,0.141067162,Sad,1,1.666666667
322,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0054.jpg,mark_zuckerbergs_testimony_before_congress-0054-1.jpg,0.261631191,0.004524675,0.437762409,0.044435706,0.124432653,0.042382866,0.084830448,Fear,3,1.666666667
323,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0054.jpg,mark_zuckerbergs_testimony_before_congress-0054-2.jpg,0.083084673,0.00181044,0.200622737,0.00620331,0.572292149,0.00642237,0.1295643,Sad,1,1.666666667
324,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0054.jpg,mark_zuckerbergs_testimony_before_congress-0054-3.jpg,0.195447624,0.003973778,0.19730632,0.002523844,0.401753247,0.041081768,0.157913417,Sad,1,1
325,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0237.jpg,mark_zuckerbergs_testimony_before_congress-0237-1.jpg,0.06521178,0.000288984,0.39581427,0.001253441,0.414396524,0.006012082,0.117022969,Sad,1,1
326,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0237.jpg,mark_zuckerbergs_testimony_before_congress-0237-2.jpg,0.231031254,0.001223729,0.167135328,0.005929129,0.317138851,0.002319186,0.27522257,Sad,1,1
327,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0072.jpg,mark_zuckerbergs_testimony_before_congress-0072-1.jpg,0.11078684,0.000821673,0.215270951,0.024034042,0.419167548,0.012400034,0.217518926,Sad,1,2.333333333
328,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0072.jpg,mark_zuckerbergs_testimony_before_congress-0072-2.jpg,0.10435956,0.001600037,0.164771125,0.010399308,0.449540049,0.007609254,0.261720628,Sad,1,2.333333333
329,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0072.jpg,mark_zuckerbergs_testimony_before_congress-0072-3.jpg,0.383002907,0.008736921,0.247418925,0.000369251,0.29529506,0.01013869,0.055038199,Anger,5,2.333333333
330,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0072.jpg,mark_zuckerbergs_testimony_before_congress-0072-4.jpg,0.055809841,0.000610132,0.227272034,0.006819508,0.367635697,0.009821323,0.332031459,Sad,1,1
331,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0072.jpg,mark_zuckerbergs_testimony_before_congress-0072-5.jpg,0.135176569,0.004519919,0.196205199,0.00319274,0.416692227,0.018391056,0.22582227,Sad,1,1
332,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0233.jpg,mark_zuckerbergs_testimony_before_congress-0233-1.jpg,0.151389211,0.010038896,0.303735018,0.003152431,0.323486209,0.084330149,0.123868145,Sad,1,1
333,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0233.jpg,mark_zuckerbergs_testimony_before_congress-0233-2.jpg,0.08938963,0.006345082,0.224856377,0.111187913,0.432097644,0.013153382,0.122969985,Sad,1,1
334,mark_zuckerbergs_testimony_before_congress,mark_zuckerbergs_testimony_before_congress-0233.jpg,mark_zuckerbergs_testimony_before_congress-0233-3.jpg,0.167424977,0.000854871,0.109059535,0.032661963,0.599341452,0.005201788,0.08545547,Sad,1,1
